facility_id,facility_name,address,city,state,zip_code,county,phone,hospital_type,hospital_ownership,emergency_services,birthing_friendly,overall_rating,readm_group_measure_count,readm_n_measures,readm_n_better,readm_n_no_different,readm_n_worse,overall_rating_footnote,readm_group_footnote,pt_exp_group_footnote,pt_exp_group_measure_count,pt_exp_n_measures,census_region,edac_30_hf_score,edac_30_hf_compared,edac_30_hf_denominator,edac_30_hf_lower,edac_30_hf_higher,edac_30_hf_footnote,edac_30_pn_score,edac_30_pn_compared,edac_30_pn_denominator,edac_30_pn_lower,edac_30_pn_higher,edac_30_pn_footnote,readm_30_ami_score,readm_30_ami_compared,readm_30_ami_denominator,readm_30_ami_lower,readm_30_ami_higher,readm_30_ami_footnote,readm_30_copd_score,readm_30_copd_compared,readm_30_copd_denominator,readm_30_copd_lower,readm_30_copd_higher,readm_30_copd_footnote,readm_30_hf_score,readm_30_hf_compared,readm_30_hf_denominator,readm_30_hf_lower,readm_30_hf_higher,readm_30_hf_footnote,readm_30_pn_score,readm_30_pn_compared,readm_30_pn_denominator,readm_30_pn_lower,readm_30_pn_higher,readm_30_pn_footnote,h_comp_1_linear_score,h_comp_1_linear_score_n_surveys,h_comp_1_star_rating,h_comp_1_star_rating_n_surveys,h_hsp_rating_linear_score,h_hsp_rating_linear_score_n_surveys,h_hsp_rating_star_rating,h_hsp_rating_star_rating_n_surveys,h_star_rating,h_star_rating_n_surveys,edv_score,edv_footnote,op_18b_score,op_18b_footnote
010051,GREENE COUNTY HOSPITAL,509 WILSON AVENUE,EUTAW,AL,35462,GREENE,(205) 372-3388,Acute Care Hospitals,Voluntary non-profit - Other,Yes,,,11,,,,,16,5,5,15,,South,,,,,,7,,Number of cases too small,,,,1,,,,,,5,,Number of cases too small,,,,1,,Number of cases too small,,,,1,,Number of cases too small,,,,1,,,,,,,,,,,Low,,128.0,
010052,LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,DADEVILLE,AL,36853,TALLAPOOSA,(256) 825-7821,Acute Care Hospitals,Proprietary,Yes,,,11,2,0,2,0,16,,,15,10,South,,Number of cases too small,,,,1,-31.0,Average days per 100 discharges,42,-56.4,5.6,,,,,,,5,21.0,No different than the national rate,33,18.1,24.2,,20.5,No different than the national rate,32,18.0,23.2,,17.1,No different than the national rate,64,14.7,19.7,,94,100,5,100,93,100,5,100,5,100,Low,,116.0,
010055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36302,HOUSTON,(334) 793-5000,Acute Care Hospitals,Proprietary,Yes,Yes,2,11,9,0,7,2,,,,15,15,South,19.4,Average days per 100 discharges,312,-35.4,105.6,,13.7,Average days per 100 discharges,283,-26.0,70.3,,15.2,No different than the national rate,410,12.8,17.7,,20.4,No different than the national rate,212,17.2,23.7,,21.9,No different than the national rate,479,19.4,24.7,,17.1,No different than the national rate,439,14.8,19.7,,90,984,3,984,86,984,3,984,3,984,High,,227.0,
010056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,JEFFERSON,(205) 939-7000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Yes,3,11,9,1,6,2,29,29,29,15,10,South,39.3,Average days per 100 discharges,347,-28.0,137.4,29,62.1,More days than average per 100 discharges,375,8.0,136.6,29,15.4,No different than the national rate,181,13.1,18.1,29,19.4,No different than the national rate,180,16.8,22.5,29,22.8,No different than the national rate,604,20.2,25.6,29,19.1,No different than the national rate,552,16.7,22.1,29,88,1657,2,1657,86,1657,3,1657,2,1657,,5,243.0,
010058,BIBB MEDICAL CENTER,208 PIERSON AVE,CENTREVILLE,AL,35042,BIBB,(205) 926-4881,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Yes,,11,2,1,1,0,16,,,15,5,South,,Number of cases too small,,,,1,-7.0,Average days per 100 discharges,35,-39.0,41.8,,,Number of cases too small,,,,1,,Number of cases too small,,,,1,,Number of cases too small,,,,1,16.9,No different than the national rate,47,14.5,19.7,,,28,,28,,28,,28,,28,Low,,130.0,
010061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,JACKSON,(256) 259-4444,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Yes,3,11,6,1,5,0,,,,15,15,South,-21.7,Average days per 100 discharges,53,-56.4,33.4,,26.2,Average days per 100 discharges,113,-15.8,88.2,,,Number of cases too small,,,,1,21.1,No different than the national rate,88,17.9,24.5,,21.7,No different than the national rate,84,18.9,24.7,,17.3,No different than the national rate,153,14.9,20.0,,93,221,4,221,88,221,3,221,4,221,Low,,176.0,
010062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,GENEVA,AL,36340,GENEVA,(334) 684-3655,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,,11,2,0,2,0,16,,,15,5,South,,Number of cases too small,,,,1,,Number of cases too small,,,,1,,Number of cases too small,,,,1,,Number of cases too small,,,,1,20.8,No different than the national rate,25,18.2,23.7,,,Number of cases too small,,,,1,,,,,,,,,,,Low,,110.0,3
010065,RUSSELL MEDICAL CENTER,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,TALLAPOOSA,(256) 329-7100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Yes,3,11,9,1,8,0,,,,15,15,South,-49.4,Fewer days than average per 100 discharges,71,-78.5,-7.8,,-4.4,Average days per 100 discharges,78,-36.2,41.7,,13.9,No different than the national rate,33,11.8,16.4,,19.6,No different than the national rate,41,16.7,23.2,,20.3,No different than the national rate,117,17.7,23.2,,16.5,No different than the national rate,101,14.1,19.0,,92,212,4,212,87,212,3,212,3,212,Medium,,138.0,
010073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,ASHLAND,AL,36251,CLAY,(256) 354-2131,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,,11,3,1,2,0,16,,,15,5,South,,Number of cases too small,,,,1,-22.5,Average days per 100 discharges,44,-48.3,16.9,,,,,,,7,,Number of cases too small,,,,1,,Number of cases too small,,,,1,17.2,No different than the national rate,53,14.7,19.9,,,,,,,,,,,,Low,,91.0,
010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,CALHOUN,(256) 235-5121,Acute Care Hospitals,Government - Local,Yes,Yes,1,11,10,0,9,1,,,,15,15,South,17.1,Average days per 100 discharges,297,-43.6,103.3,,18.1,Average days per 100 discharges,318,-32.2,87.4,,13.9,No different than the national rate,244,11.8,16.3,,21.1,No different than the national rate,232,18.3,24.3,,21.1,No different than the national rate,354,18.5,23.9,,17.0,No different than the national rate,357,14.7,19.5,,88,701,2,701,82,701,2,701,2,701,Medium,,244.0,
010079,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,LIMESTONE,(256) 233-9292,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Yes,2,11,7,0,5,2,,,,15,15,South,-33.2,Average days per 100 discharges,134,-70.5,27.7,,38.4,Average days per 100 discharges,178,-5.8,104.0,,,Number of cases too small,,,,1,19.3,No different than the national rate,123,16.2,22.7,,20.6,No different than the national rate,146,18.1,23.6,,17.2,No different than the national rate,219,14.6,19.9,,93,474,4,474,90,474,4,474,4,474,Medium,,178.0,
010083,BALDWIN HEALTH,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,BALDWIN,(251) 949-3400,Acute Care Hospitals,Proprietary,Yes,Yes,4,11,8,2,6,0,,,,15,15,South,4.1,Average days per 100 discharges,252,-45.1,76.1,,-3.5,Average days per 100 discharges,235,-38.5,49.4,,13.1,No different than the national rate,155,10.9,15.3,,19.6,No different than the national rate,185,16.5,22.9,,21.2,No different than the national rate,373,18.5,24.1,,18.2,No different than the national rate,389,15.8,20.9,,92,771,4,771,87,771,3,771,3,771,High,,140.0,
010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,AL,35601,MORGAN,(256) 341-2000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Yes,3,11,7,0,7,0,,,,15,15,South,1.8,Average days per 100 discharges,302,-47.2,74.6,,3.3,Average days per 100 discharges,420,-34.7,57.2,,13.8,No different than the national rate,27,11.7,16.3,,19.1,No different than the national rate,164,16.3,22.2,,22.1,No different than the national rate,429,19.5,25.2,,16.3,No different than the national rate,584,14.1,18.8,,92,963,4,963,87,963,3,963,4,963,High,,160.0,
010086,NORTH MISSISSIPPI HEALTH SERVICES - SOUTH MARION,1530 U S HIGHWAY 43,WINFIELD,AL,35594,FAYETTE,(205) 487-7000,Acute Care Hospitals,Proprietary,Yes,,4,11,5,1,4,0,,,,15,5,South,,Number of cases too small,,,,1,-57.0,Fewer days than average per 100 discharges,74,-74.2,-30.2,,,Number of cases too small,,,,1,19.2,No different than the national rate,51,16.5,22.5,,21.1,No different than the national rate,29,18.6,23.8,,15.7,No different than the national rate,71,13.4,18.4,,,84,,84,,84,,84,,84,Low,,130.0,
010087,USA HEALTH UNIVERSITY HOSPITAL,2451 FILLINGIM STREET,MOBILE,AL,36617,MOBILE,(251) 471-7110,Acute Care Hospitals,Government - State,Yes,,2,11,7,0,6,1,,,,15,15,South,73.1,More days than average per 100 discharges,59,0.1,183.3,,-24.4,Average days per 100 discharges,58,-53.2,18.3,,13.8,No different than the national rate,75,11.7,16.1,,19.8,No different than the national rate,77,17.1,22.8,,19.0,No different than the national rate,138,16.6,21.6,,16.3,No different than the national rate,165,14.1,18.9,,90,1169,3,1169,87,1169,3,1169,3,1169,Medium,,211.0,
010089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,AL,35502,WALKER,(205) 387-4000,Acute Care Hospitals,Proprietary,Yes,Yes,3,11,6,0,6,0,,,,15,15,South,10.7,Average days per 100 discharges,152,-40.1,86.7,,21.9,Average days per 100 discharges,190,-21.5,86.6,,,Number of cases too small,,,,1,19.9,No different than the national rate,181,17.0,23.3,,21.5,No different than the national rate,305,18.8,24.4,,19.1,No different than the national rate,409,16.4,21.9,,90,570,3,570,83,570,2,570,2,570,Medium,,155.0,
010090,"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",6801 AIRPORT BOULEVARD,MOBILE,AL,36608,MOBILE,(251) 633-1000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Yes,3,11,9,0,7,2,,,,15,15,South,0.0,Average days per 100 discharges,350,-44.7,67.4,,28.9,Average days per 100 discharges,308,-16.9,89.6,,14.2,No different than the national rate,305,12.0,16.8,,19.3,No different than the national rate,272,16.4,22.5,,20.1,No different than the national rate,724,17.6,22.8,,17.6,No different than the national rate,754,15.2,20.3,,88,1408,2,1408,84,1408,2,1408,2,1408,Medium,,212.0,
010091,GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S,GROVE HILL,AL,36451,CLARKE,(251) 275-3191,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,,11,1,0,1,0,16,,,15,5,South,,Number of cases too small,,,,1,,Number of cases too small,,,,1,,,,,,5,,Number of cases too small,,,,1,,Number of cases too small,,,,1,17.9,No different than the national rate,26,15.2,20.9,,,,,,,,,,,,Low,,166.0,
010092,DCH REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,TUSCALOOSA,(205) 759-7111,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Yes,2,11,9,1,4,4,,,,15,15,South,20.3,Average days per 100 discharges,598,-33.5,103.0,,27.5,Average days per 100 discharges,576,-20.9,95.8,,14.0,No different than the national rate,263,11.8,16.5,,20.7,No different than the national rate,466,17.8,23.8,,22.5,No different than the national rate,1117,19.6,25.5,,18.4,No different than the national rate,1025,16.0,21.1,,89,1351,2,1351,87,1351,3,1351,3,1351,Very high,,237.0,
010095,HALE COUNTY HOSPITAL,508 GREENE STREET,GREENSBORO,AL,36744,HALE,(334) 624-3024,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,,11,1,0,1,0,16,,5,15,,South,,Number of cases too small,,,,1,,Number of cases too small,,,,1,,Number of cases too small,,,,1,,Number of cases too small,,,,1,,Number of cases too small,,,,1,17.1,No different than the national rate,29,14.6,20.0,,,35,,35,,35,,35,,35,Low,,100.0,
010097,ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,WETUMPKA,AL,36092,ELMORE,(334) 567-4311,Acute Care Hospitals,Proprietary,Yes,,,11,3,0,2,1,16,,5,15,,South,,Number of cases too small,,,,1,-2.6,Average days per 100 discharges,43,-38.7,47.4,,,,,,,7,,Number of cases too small,,,,1,,Number of cases too small,,,,1,16.1,No different than the national rate,56,13.8,18.7,,,66,,66,,66,,66,,66,Low,,110.0,
